nama_tempat,alamat,rating,jumlah_review,stt_tlp,website,latitude,longitude,aksesibilitas,type_place_clean,kota_kabupaten,is_24_hours,open_time,close_time,operational_status,telepon_clean,skor_aksesibilitas,Label_akses
Masjid Jenderal Sudirman,"Jl. Pahlawan No.5A, Kec. Cibeunying Kaler","4,8",837.0,Tidak Ada,Tidak Tersedia,-6.9018457,107.6347173,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Al-Ihsan Sukaresmi Bandung,Kec. Kiaracondong,"4,9",40.0,Tidak Ada,Tidak Tersedia,-6.904825,107.65346,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Al Anwar,"Jl. Asep Berlian No.03/06, Kec. Cibeunying Kidul","4,7",32.0,Tidak Ada,Tidak Tersedia,-6.907363,107.6401467,['Tidak memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Nugraha,"Jl. Muararajeun Kulon No.RT. 03/11, Kec. Cibeunying Kaler","4,8",66.0,Tidak Ada,Tidak Tersedia,-6.9033812,107.6290495,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Al Munajat,"Jl. H. Munajat No.01/07, Kec. Batununggal","4,8",72.0,Tidak Ada,Tidak Tersedia,-6.9265039,107.6420571,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Besar Nurul Iman,Jalan Rereng Wulung,"4,8",117.0,Tidak Ada,Tersedia,-6.8966898,107.6301521,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Kodiklat TNI AD,Kec. Sumur Bandung,"4,8",153.0,Tidak Ada,Tidak Tersedia,-6.9099575,107.6159146,,Masjid,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
"Gereja Katolik Paroki Santa Melania, Cihaur Geulis","Jl. Melania No.1-3, Kec. Cibeunying Kaler","4,7",117.0,Ada,Tidak Tersedia,-6.9003616,107.6238023,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda', ' Tidak dilengkapi dukungan instalasi bantu dengar', 'Tidak memiliki kursi khusus pengguna kursi roda']",Gereja Katolik,Kota Bandung,False,,,Tidak diketahui,2220463790.0,0,Tidak Tersedia
"Kapel Katolik Mater Boni Consilii, Cibeunying Kidul","Jl. Supratman No.1, Kec. Cibeunying Kidul","4,7",57.0,Ada,Tersedia,-6.9116383,107.6327473,,Gereja Katolik,Kota Bandung,False,,,Tidak diketahui,227207332.0,0,Tidak Tersedia
Gereja Mahasiswa Katolik,"Jl. Sultan Agung No.2, Kec. Bandung Wetan","4,8",105.0,Tidak Ada,Tersedia,-6.9057474,107.6118923,['Ada toilet khusus pengguna kursi roda'],Gereja Katolik,Kota Bandung,False,,,Tidak konsisten,,1,Aksesibilitas Terbatas
GKI Guntur,"Jl. Guntur No.13, Kec. Lengkong","4,9",80.0,Ada,Tidak Tersedia,-6.9246073,107.6218135,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,,,Tidak diketahui,227306232.0,3,Aksesibilitas Cukup Lengkap
Gereja Bethel Tabernakel,"Jl. Holis No.300, Kec. Bandung Kulon","4,9",40.0,Ada,Tidak Tersedia,-6.9327448,107.5715936,,Gereja Umum,Kota Bandung,False,,,Tidak diketahui,226016561.0,0,Tidak Tersedia
GPIB Sejahtera di Bandung,"Jl. Malabar No.49, Kec. Lengkong","4,9",41.0,Tidak Ada,Tidak Tersedia,-6.9244718,107.6243329,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bandung,False,,,Tidak diketahui,,1,Aksesibilitas Terbatas
Gereja Kristen Pasundan Jemaat Bandung,"Jl. Kebon Jati No.108, Kec. Andir","4,9",41.0,Ada,Tersedia,-6.915981,107.5986643,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bandung,False,,,Tidak diketahui,224237083.0,1,Aksesibilitas Terbatas
GBI Bethel Summarecon - The Journey,"Jl. Magna Timur, Kec. Gedebage","4,9",80.0,Tidak Ada,Tersedia,-6.9609716,107.6893052,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,,,Tidak diketahui,,2,Aksesibilitas Terbatas
GPIB Maranatha Bandung,"Jl. Taman Cibeunying Utara No.2, Kec. Bandung Wetan","4,8",286.0,Tidak Ada,Tersedia,-6.9071617,107.6265027,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,,,Tidak konsisten,,3,Aksesibilitas Cukup Lengkap
GKI Kebon Jati,"Jl. Kebon Jati No.100, Kec. Andir","4,8",289.0,Ada,Tidak Tersedia,-6.9160658,107.598979,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,,,Tidak diketahui,224231063.0,2,Aksesibilitas Terbatas
CLCC (City Light Community Church),Jalan Sukajadi No 137,"4,8",179.0,Tidak Ada,Tersedia,-6.890935,107.595673,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Umum,Kota Bandung,False,,,Tidak diketahui,,2,Aksesibilitas Terbatas
GRII Bandung,"Jl. Moch. Toha No.229, Kec. Regol","4,7",217.0,Ada,Tersedia,-6.9463663,107.6091629,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Umum,Kota Bandung,False,,,Tidak diketahui,225212211.0,3,Aksesibilitas Cukup Lengkap
GKJ Kiaracondong,"Jl. Stasiun Kiaracondong No.99/134B, Kec. Kiaracondong","4,7",33.0,Ada,Tidak Tersedia,-6.9255684,107.6463212,,Gereja Protestan,Kota Bandung,False,,,Tidak diketahui,227305127.0,0,Tidak Tersedia
Gereja Baptis Indonesia Baitlahim,"Jl. Jend. Sudirman No.586, Kec. Andir","4,8",41.0,Ada,Tidak Tersedia,-6.9179732,107.5815055,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Umum,Kota Bandung,False,,,Tidak diketahui,226014479.0,1,Aksesibilitas Terbatas
GKPB Fajar Pengharapan - Satelit Pasirkoja,"Jl. Pasirkoja No.58, Kec. Astanaanyar","4,8",463.0,Ada,Tersedia,-6.9266151,107.6005577,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,,,Tidak diketahui,224237966.0,2,Aksesibilitas Terbatas
Gereja Baptis Indonesia Maleber,"Jl. Maleber Barat No.95, Kec. Andir","4,4",30.0,Ada,Tidak Tersedia,-6.9059269,107.5714193,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Gereja Umum,Kota Bandung,False,,,Tidak diketahui,226045056.0,0,Tidak Tersedia
GBI Aruna,"Jl. Aruna No.19, Kec. Cicendo","4,8",971.0,Tidak Ada,Tersedia,-6.9082245,107.5874633,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,,,Tidak konsisten,,3,Aksesibilitas Cukup Lengkap
"GEREJA HKBP Bandung, Resort Bandung","Jl. L. L. R.E. Martadinata No.96, Kec. Bandung Wetan","4,7",340.0,Ada,Tidak Tersedia,-6.908937,107.6244831,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,,,Tidak diketahui,224211627.0,3,Aksesibilitas Cukup Lengkap
GKI Anugerah,"Jl. Jend. Sudirman No.193-197, Kec. Astanaanyar","4,7",275.0,Tidak Ada,Tersedia,-6.9201707,107.5974709,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,,,Tidak diketahui,,2,Aksesibilitas Terbatas
Vihara Karuna Mukti,"Jl. Pasundan, Kec. Regol","4,6",65.0,Ada,Tidak Tersedia,-6.926125,107.6086633,,Vihara,Kota Bandung,False,,,Tidak diketahui,224234597.0,0,Tidak Tersedia
Wihara Buddhi,"Jl. Cibadak No.281, Kec. Astanaanyar","4,1",46.0,Tidak Ada,Tidak Tersedia,-6.9208737,107.5928038,,Vihara,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Vihara Giritoba/ Sioe Sian Tong (Yayasan Giritoba),"Jl. Bojongloa No.70, Kec. Astanaanyar","4,3",40.0,Ada,Tersedia,-6.9304532,107.5994862,,Vihara,Kota Bandung,False,,,Tidak diketahui,225221401.0,0,Tidak Tersedia
Vihara Vimalakirti Bandung ( MNSBDI ),Kec. Bandung Kulon,"4,5",37.0,Ada,Tidak Tersedia,-6.9427908,107.5580849,['Memiliki pintu masuk khusus pengguna kursi roda'],Vihara,Kota Bandung,False,,,Tidak diketahui,226003554.0,1,Aksesibilitas Terbatas
Vihara Dharmasagara,"Jl. Muara Selatan No.51, Kec. Bojongloa Kidul","4,5",39.0,Tidak Ada,Tidak Tersedia,-6.9420142,107.6010726,,Vihara,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Vihara Vimala Dharma,"Jl. Ir. H. Juanda No.5, Kec. Bandung Wetan","4,7",123.0,Ada,Tidak Tersedia,-6.906144,107.6103585,,Vihara,Kota Bandung,False,,,Tidak diketahui,224238696.0,0,Tidak Tersedia
Pura Vira Chandra Dharma Secapa AD,Kec. Cidadap,"4,9",73.0,Tidak Ada,Tidak Tersedia,-6.8702837,107.5977838,,Pura,Kota Bandung,False,,,Tidak diketahui,,0,Tidak Tersedia
Angkasa Pura II. PT Persero,Kec. Cicendo,"4,4",39.0,Ada,Tersedia,-6.9036801,107.5792096,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Pura,Kota Bandung,False,,,Tidak diketahui,226041221.0,2,Aksesibilitas Terbatas
Graha Puralima,"Jl. Purawinata No.5, Kec. Lengkong","4,5",37.0,Ada,Tersedia,-6.923776,107.61182,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Pura,Kota Bandung,False,,,Tidak diketahui,224238976.0,0,Tidak Tersedia
Masjid Jami' Arrahmah,Jalan Pintu Air,"4,7",54.0,Tidak Ada,Tidak Tersedia,-6.2317375,107.0010353,,Masjid,Kota Bekasi,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Al-Falah Perumahan Bekasi Permai Kota Bekasi,"Jl. Bekasi Permai VII No.15, Kec. Bekasi Tim","4,8",90.0,Tidak Ada,Tidak Tersedia,-6.2290181,107.0128382,['Memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Bekasi,False,,,Tidak diketahui,,1,Aksesibilitas Terbatas
Masjid Jami Al Hidayah,Jalan Pulau Selayar Raya,"4,8",245.0,Tidak Ada,Tidak Tersedia,-6.2418317,107.0358163,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Bekasi,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Jami Al-Hidayah - PHR Bekasi Utara,"Jl. Perum. Prima Harapan Regency No.D-11, Kec. Bekasi Utara","4,8",220.0,Tidak Ada,Tidak Tersedia,-6.2100092,107.0163565,,Masjid,Kota Bekasi,False,,,Tidak diketahui,,0,Tidak Tersedia
Masjid Jami Al-Muhadjirin Bekasi,"Jl. P. Jawa Raya No.22, Kec. Bekasi Tim","4,6",70.0,Ada,Tidak Tersedia,-6.2501307,107.0295724,,Masjid,Kota Bekasi,False,,,Tidak diketahui,8889882727.0,0,Tidak Tersedia
"Gereja GPIB Jemaat Anugerah,Bekasi.","Jl. Perum. P. Dan K No.Blok A, Kec. Tambun Sel","4,6",73.0,Ada,Tidak Tersedia,-6.274416,107.0436385,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kabupaten Bekasi,False,,,Tidak konsisten,87809378448.0,2,Aksesibilitas Terbatas
Gereja HKBP Perumnas 2 Bekasi,Jalan Gunung Gede Raya No. 1 RT. 5/RW. 13,"4,6",159.0,Ada,Tersedia,-6.2430074,106.9905878,,Gereja Protestan,Kota Bekasi,False,,,Tidak diketahui,218844443.0,0,Tidak Tersedia
GPIB Jemaat Galilea Bekasi,Kec. Bekasi Sel,"4,7",69.0,Ada,Tersedia,-6.2688839,106.9732835,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Gereja Protestan,Kota Bekasi,False,,,Tidak konsisten,2182410100.0,0,Tidak Tersedia
GKI Jatiasih Bekasi,"Jalan Swatantra III, Kec. Jatiasih","4,6",117.0,Ada,Tidak Tersedia,-6.2907294,106.967886,,Gereja Protestan,Kota Bekasi,False,,,Tidak diketahui,218214375.0,0,Tidak Tersedia
GKI Agus Salim,"Jl. KH. Agus Salim No.205, Kec. Bekasi Tim","4,8",84.0,Ada,Tersedia,-6.2271517,107.014447,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bekasi,False,,,Tidak konsisten,218803493.0,2,Aksesibilitas Terbatas
GKPI Bekasi,"Jl. Gn. Gede - Kayuringin No.3, Kec. Bekasi Sel","4,8",89.0,Ada,Tersedia,-6.2431978,106.9904735,,Gereja Protestan,Kota Bekasi,False,,,Tidak diketahui,2188952724.0,0,Tidak Tersedia
Gereja Kristen Pasundan Jemaat Bekasi,"Jl. Insinyur H. Juanda No.166B, Kec. Bekasi Tim","4,7",68.0,Ada,Tersedia,-6.2494918,107.0141986,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bekasi,False,,,Tidak diketahui,218814961.0,1,Aksesibilitas Terbatas
GPIB GLORIA Bekasi,Jl. Kenanga IV Perumahan Jaka Permai No.38 Kav 37,"4,8",161.0,Ada,Tersedia,-6.2466845,106.975546,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bekasi,False,,,Tidak diketahui,218841983.0,2,Aksesibilitas Terbatas
GKJ Bekasi,Jl. Jatiluhur Raya RT.001/RW.013. Kompl. Pengairan,"4,7",250.0,Ada,Tersedia,-6.2475898,106.9678082,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bekasi,False,,,Tidak konsisten,218840760.0,2,Aksesibilitas Terbatas
GPIB Jemaat Jatipon Bekasi,Jl. Sekolah Kapin Gg. Gereja,"4,7",206.0,Ada,Tersedia,-6.2544562,106.928027,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bekasi,False,,,Tidak konsisten,218648688.0,2,Aksesibilitas Terbatas
Gereja Pantekosta - GPdI Jemaat Anugerah Bekasi,"Jl. Sersan Aswan No.10, Kec. Bekasi Tim","4,7",128.0,Ada,Tersedia,-6.2519072,107.0110771,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Umum,Kota Bekasi,False,,,Tidak diketahui,2188341984.0,1,Aksesibilitas Terbatas
GKI Kemang Pratama Bekasi,Kec. Rawalumbu,"4,7",103.0,Ada,Tersedia,-6.275523,106.986985,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bekasi,False,,,Tidak konsisten,2182414036.0,1,Aksesibilitas Terbatas
GKJ Bekasi Timur,"Jl. Cut Mutia Blok F 3 dan 4, Kec. Bekasi Tim","4,9",116.0,Ada,Tidak Tersedia,-6.2511399,107.0149872,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bekasi,False,,,Tidak diketahui,2188356796.0,2,Aksesibilitas Terbatas
GKI Raya Hankam,"Jl. Raya Hankam No.45, Kec. Pd","4,7",237.0,Ada,Tersedia,-6.2872295,106.9146082,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bekasi,False,,,Tidak konsisten,218467121.0,1,Aksesibilitas Terbatas
"Gereja Katolik Paroki St. Bartolomeus, Taman Galaxy","Jl. Gardenia Utara No.35 AA1, Kec. Bekasi Sel","4,8",857.0,Tidak Ada,Tersedia,-6.2685003,106.9733717,"['Ada toilet khusus pengguna kursi roda', 'Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Gereja Katolik,Kota Bekasi,False,,,Tidak diketahui,,0,Tidak Tersedia
Gereja HKBP Duren Jaya,"Perumahan Jl. Duren Jaya No.1, Kec. Bekasi Tim","4,6",157.0,Ada,Tersedia,-6.2343437,107.0200182,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bekasi,False,,,Tidak konsisten,218803713.0,1,Aksesibilitas Terbatas
GBI Grand Wisata,"Jl. Grand Wisata Jl. Celebration Boulevard No.53 Blok AA 09, Kec. Tambun Sel","4,7",65.0,Ada,Tersedia,-6.2822043,107.0461577,['Tidak memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kabupaten Bekasi,False,,,Tidak diketahui,2182615831.0,0,Tidak Tersedia
"Gereja Katolik Paroki Santo Albertus, Harapan Indah","Jalan Boulevard Raya No.Kav 23, Kecamatan Medan Satria","4,8",983.0,Ada,Tersedia,-6.175479,106.9742615,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Katolik,Kota Bekasi,False,,,Tidak diketahui,2129477580.0,3,Aksesibilitas Cukup Lengkap
"Gereja Katolik Stasi Santo Yohanes Paulus II, Rawalumbu","Jl. Kemuning V No.53, Kec. Rawalumbu","4,9",53.0,Ada,Tidak Tersedia,-6.3033097,106.9898277,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Katolik,Kota Bekasi,False,,,Tidak diketahui,81399396742.0,3,Aksesibilitas Cukup Lengkap
Vihara Buddha Jayanti,Jalan,"4,6",52.0,Ada,Tidak Tersedia,-6.1595672,106.981876,,Vihara,Kabupaten Bekasi,False,,,Tidak diketahui,8129917979.0,0,Tidak Tersedia
Wihara Manggala Jaya,"Jl. Mekar Sari No.63, Kec. Bekasi Tim","4,8",40.0,Ada,Tidak Tersedia,-6.2289362,107.0157778,,Vihara,Kota Bekasi,False,,,Tidak diketahui,8128590121.0,0,Tidak Tersedia
Vihara Sariputra,"Jl. Pasar Cikarang No.46-55, Kec. Cikarang Utara","4,6",63.0,Tidak Ada,Tidak Tersedia,-6.2569543,107.1442042,,Vihara,Kabupaten Bekasi,False,,,Tidak diketahui,,0,Tidak Tersedia
Vihara Vipassana Kusalacitta,"Jl. Kemuning Raya Dalam, Kec. Rawalumbu","4,8",129.0,Ada,Tersedia,-6.3026702,106.9886472,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Vihara,Kota Bekasi,False,,,Tidak diketahui,8128756789.0,2,Aksesibilitas Terbatas
Wihara Tridharma Pondok Gede,"Jl. Raya Hankam No.46, Kec. Pd","4,6",44.0,Ada,Tidak Tersedia,-6.287408,106.914383,,Vihara,Kota Bekasi,False,,,Tidak diketahui,81224221688.0,0,Tidak Tersedia
Wihara Dharma Jaya,"Jalan Bajir No.19, Kec. Rawalumbu","4,6",93.0,Ada,Tidak Tersedia,-6.2876514,106.9884346,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Vihara,Kota Bekasi,False,,,Tidak diketahui,8120063522.0,0,Tidak Tersedia
GKKD Bogor,"Jl. Kompleks Pulo Armin Jalan Ciburial No.5-6 Blok A, Kec. Bogor Tim","4,8",33.0,Ada,Tersedia,-6.6135854,106.8119434,,Gereja Protestan,Kota Bogor,False,,,Tidak konsisten,2518360229.0,0,Tidak Tersedia
GPdI Tiberias Bogor,"Jl. Gereja No.19, Kecamatan Bogor Tengah","4,7",103.0,Ada,Tersedia,-6.5995613,106.7930884,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Umum,Kota Bogor,False,,,Tidak diketahui,81318193919.0,2,Aksesibilitas Terbatas
GKI Pos Bogor Barat,"Jl. KH. R. Abdullah Bin Nuh No.11, Kec. Bogor Bar","4,8",53.0,Tidak Ada,Tidak Tersedia,-6.5658284,106.7608498,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bogor,False,,,Tidak konsisten,,1,Aksesibilitas Terbatas
Gereja HKBP Ressort Bogor,"Jl. Paledang No.15, Kecamatan Bogor Tengah","4,7",389.0,Ada,Tersedia,-6.5979534,106.7897491,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Protestan,Kota Bogor,False,,,Tidak konsisten,2518323875.0,3,Aksesibilitas Cukup Lengkap
Gereja Kristen Pasundan Bogor,"Jl. A. Yani, Kec. Tanah Sereal","4,8",76.0,Tidak Ada,Tersedia,-6.5689796,106.8049883,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bogor,False,,,Tidak diketahui,,2,Aksesibilitas Terbatas
GMS Bogor,"Boxies Jl. Raya Tajur No.123 123 Lantai 1, Kec. Bogor Tim","4,8",50.0,Ada,Tersedia,-6.6343182,106.8271854,,Gereja Umum,Kota Bogor,False,,,Tidak konsisten,8113020081.0,0,Tidak Tersedia
