nama_tempat,alamat,rating,jumlah_review,stt_tlp,website,latitude,longitude,aksesibilitas,type_place_clean,kota_kabupaten,is_24_hours,open_time,close_time,operational_status,telepon_clean,skor_aksesibilitas,Label_akses
Masjid Al Manar,"Jl. Puter No.5, Kecamatan Coblong","4,7",684.0,Ada,Tidak Tersedia,-6.8978684,107.6222824,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,222507450.0,0,Tidak Tersedia
Masjid Jami Al - I'anah,"Jalan Jembar, Kec. Cibeunying Kidul","4,5",36.0,Tidak Ada,Tidak Tersedia,-6.9093414,107.6401051,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Fathul Khoer,"Jl. Emong blk No.7, Kec. Lengkong","4,6",36.0,Ada,Tidak Tersedia,-6.9247224,107.6181674,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,82216561729.0,0,Tidak Tersedia
Masjid As-Siraaj,"Jl. Kacapiring No.33, Kec. Batununggal","4,6",44.0,Tidak Ada,Tidak Tersedia,-6.9185567,107.6293971,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Jami Al-Jabbar Jatihandap,Kec. Mandalajati,"4,4",31.0,Tidak Ada,Tidak Tersedia,-6.8958116,107.6602107,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,,0,Tidak Tersedia
Masjid Mungsolkanas,"Jl. Cihampelas, Kecamatan Coblong","4,7",372.0,Tidak Ada,Tidak Tersedia,-6.8917507,107.6047965,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,True,00:00,23:59,24 Jam,,0,Tidak Tersedia
Masjid Jami Miftahul Khaer,"Jl. Bima No.10, Kec. Cicendo","4,8",217.0,Ada,Tidak Tersedia,-6.9111347,107.5948697,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,226079113.0,0,Tidak Tersedia
Masjid Al Kautsar,"Jl. Sumbawa No.9, Kec. Sumur Bandung","4,8",712.0,Tidak Ada,Tidak Tersedia,-6.914369,107.61748,['Memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Bandung,False,04:00,21:15,Normal,,1,Aksesibilitas Terbatas
Masjid Al-Muttaqin (Gedung Sate),"Jl. Hayam Wuruk No.16, Kec. Bandung Wetan","4,8",784.0,Tidak Ada,Tidak Tersedia,-6.9022486,107.6179236,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,True,00:00,23:59,24 Jam,,2,Aksesibilitas Terbatas
Masjid Besar Baiturrahman,"Jl. Patrakomala, Kec. Sumur Bandung","4,8",654.0,Tidak Ada,Tidak Tersedia,-6.9126898,107.6239472,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,,0,Tidak Tersedia
Masjid Al Futuh,"Jl. Samoja, Kec. Batununggal","4,9",35.0,Tidak Ada,Tidak Tersedia,-6.9217119,107.6272432,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,,0,Tidak Tersedia
Masjid Agung Bandung,"Jl. Alun-Alun Timur, Kec. Regol","4,5",397.0,Tidak Ada,Tidak Tersedia,-6.921895,107.6067073,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,3,Aksesibilitas Cukup Lengkap
Masjid Istiqamah,"Jl. Taman Citarum, Kec. Bandung Wetan","4,6",623.0,Ada,Tidak Tersedia,-6.9048035,107.6219618,['Ada toilet khusus pengguna kursi roda'],Masjid,Kota Bandung,False,04:00,22:00,Normal,224204142.0,1,Aksesibilitas Terbatas
Masjid Al-Kasyafah,"Jl. Taman Pramuka No.178, Kec. Bandung Wetan","4,9",30.0,Tidak Ada,Tidak Tersedia,-6.9100547,107.6272235,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid AT TAQWA,"Jl. Kebon Sirih No.10, Kec. Sumur Bandung","4,7",141.0,Tidak Ada,Tidak Tersedia,-6.912408,107.606039,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,,0,Tidak Tersedia
Masjid Baitul Huda,"Jl. Terusan Jakarta No.138, Kec. Antapani","5,0",268.0,Tidak Ada,Tidak Tersedia,-6.9134527,107.6579469,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid At - Taufiq,"Jl. Sukaluyu I Gg. I No.42, Kec. Cibeunying Kaler","4,8",41.0,Tidak Ada,Tidak Tersedia,-6.9007537,107.6327985,,Masjid,Kota Bandung,False,04:00,22:00,Normal,,0,Tidak Tersedia
Masjid Miftahul Hidayah,"Jl. Mangga, Kec. Bandung Wetan","4,7",609.0,Tidak Ada,Tidak Tersedia,-6.9140562,107.630918,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Baitush Sholihin Disdik Jabar,"Jl. Dr. Rajiman No.6, Kec. Cicendo","4,8",122.0,Tidak Ada,Tersedia,-6.9043854,107.6007776,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Jenderal Sudirman,"Jl. Pahlawan No.5A, Kec. Cibeunying Kaler","4,8",837.0,Tidak Ada,Tidak Tersedia,-6.9018457,107.6347173,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Al-Ihsan Sukaresmi Bandung,Kec. Kiaracondong,"4,9",40.0,Tidak Ada,Tidak Tersedia,-6.904825,107.65346,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Al Anwar,"Jl. Asep Berlian No.03/06, Kec. Cibeunying Kidul","4,7",32.0,Tidak Ada,Tidak Tersedia,-6.907363,107.6401467,['Tidak memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Nugraha,"Jl. Muararajeun Kulon No.RT. 03/11, Kec. Cibeunying Kaler","4,8",66.0,Tidak Ada,Tidak Tersedia,-6.9033812,107.6290495,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Al-Hidayah Badan Geologi,"Jl. Diponegoro No.57, Kec. Cibeunying Kaler","4,7",187.0,Ada,Tidak Tersedia,-6.900078,107.6206035,['Ada toilet khusus pengguna kursi roda'],Masjid,Kota Bandung,True,00:00,23:59,24 Jam,8122353502.0,1,Aksesibilitas Terbatas
Masjid Al Munajat,"Jl. H. Munajat No.01/07, Kec. Batununggal","4,8",72.0,Tidak Ada,Tidak Tersedia,-6.9265039,107.6420571,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Besar Nurul Iman,Jalan Rereng Wulung,"4,8",117.0,Tidak Ada,Tersedia,-6.8966898,107.6301521,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Kodiklat TNI AD,Kec. Sumur Bandung,"4,8",153.0,Tidak Ada,Tidak Tersedia,-6.9099575,107.6159146,,Masjid,Kota Bandung,False,04:00,22:00,Tidak diketahui,,0,Tidak Tersedia
Masjid Saifuddaulah Corps Mubalig Bandung (CMB),"Jl. Stasiun Timur No.20, Kec. Sumur Bandung","4,8",52.0,Ada,Tidak Tersedia,-6.9148608,107.6050232,,Masjid,Kota Bandung,True,00:00,23:59,24 Jam,85220624137.0,0,Tidak Tersedia
"Gereja Katolik Paroki Salib Suci, Kamuning","Jl. Kemuning No.25, Kec. Sumur Bandung","4,7",458.0,Tidak Ada,Tersedia,-6.916163,107.6284408,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Katolik,Kota Bandung,False,05:00,00:00,Tidak konsisten,,2,Aksesibilitas Terbatas
"Gereja Katolik Paroki St. Theodorus, Sukawarna","Jl. Unpar II No.10, Kec. Sukajadi","4,8",207.0,Tidak Ada,Tersedia,-6.8896639,107.5764554,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Katolik,Kota Bandung,False,07:00,08:00,Normal,,3,Aksesibilitas Cukup Lengkap
"Kapel Katolik Hati Kudus Yesus, Lebak Gede","Jl. Surya Kencana No.3, Kecamatan Coblong","4,8",217.0,Tidak Ada,Tidak Tersedia,-6.894155,107.614249,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Katolik,Kota Bandung,False,07:00,08:15,Normal,,2,Aksesibilitas Terbatas
"Gereja Katolik Paroki Santa Melania, Cihaur Geulis","Jl. Melania No.1-3, Kec. Cibeunying Kaler","4,7",117.0,Ada,Tidak Tersedia,-6.9003616,107.6238023,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda', ' Tidak dilengkapi dukungan instalasi bantu dengar', 'Tidak memiliki kursi khusus pengguna kursi roda']",Gereja Katolik,Kota Bandung,False,05:07,18:30,Tidak diketahui,2220463790.0,0,Tidak Tersedia
"Gereja Katolik Paroki Santo Michael, Waringin","Jl. Waringin No.51, Kec. Andir","4,8",265.0,Tidak Ada,Tersedia,-6.9171009,107.591306,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Katolik,Kota Bandung,True,00:00,23:59,24 Jam,,2,Aksesibilitas Terbatas
"Gereja Katolik Paroki Santa Odilia, Cicadas","Jl. Cicadas Ps. II No.45, Kec. Cibeunying Kidul","4,6",598.0,Tidak Ada,Tidak Tersedia,-6.9072705,107.6426698,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Katolik,Kota Bandung,False,08:00,19:00,Normal,,3,Aksesibilitas Cukup Lengkap
"Gereja Katolik Paroki Santo Paulus, Moch. Toha","Jl. Moch. Toha No.19-21, Kec. Regol","4,7",896.0,Tidak Ada,Tersedia,-6.9293556,107.6070709,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Katolik,Kota Bandung,False,07:00,12:00,Normal,,3,Aksesibilitas Cukup Lengkap
"Kapel Katolik Mater Boni Consilii, Cibeunying Kidul","Jl. Supratman No.1, Kec. Cibeunying Kidul","4,7",57.0,Ada,Tersedia,-6.9116383,107.6327473,,Gereja Katolik,Kota Bandung,False,05:07,18:30,Tidak diketahui,227207332.0,0,Tidak Tersedia
Gereja Mahasiswa Katolik,"Jl. Sultan Agung No.2, Kec. Bandung Wetan","4,8",105.0,Tidak Ada,Tersedia,-6.9057474,107.6118923,['Ada toilet khusus pengguna kursi roda'],Gereja Katolik,Kota Bandung,False,05:07,18:30,Tidak konsisten,,1,Aksesibilitas Terbatas
"Gereja Katolik Paroki Santo Gabriel, Sumber Sari","Jl. Sumber Makmur No.4, Kec. Babakan Ciparay","4,8",483.0,Tidak Ada,Tidak Tersedia,-6.9374071,107.5721222,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Katolik,Kota Bandung,False,08:00,12:00,Normal,,3,Aksesibilitas Cukup Lengkap
"Gereja Katolik Paroki Santo Martinus, Margahayu","Jl. Hercules 4, Kec. Margahayu","4,7",459.0,Tidak Ada,Tersedia,-6.985416,107.568153,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Katolik,Kabupaten Bandung,False,06:00,12:00,Normal,,3,Aksesibilitas Cukup Lengkap
Gereja Katolik Paroki Hati Tak Bernoda Santa Perawan Maria,"Jl. Suryalaya No.3, Kec. Lengkong","4,8",693.0,Tidak Ada,Tersedia,-6.940817,107.625909,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Katolik,Kota Bandung,False,06:00,22:00,Normal,,3,Aksesibilitas Cukup Lengkap
GKI Guntur,"Jl. Guntur No.13, Kec. Lengkong","4,9",80.0,Ada,Tidak Tersedia,-6.9246073,107.6218135,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,05:07,18:30,Tidak diketahui,227306232.0,3,Aksesibilitas Cukup Lengkap
Gereja Bethel Tabernakel,"Jl. Holis No.300, Kec. Bandung Kulon","4,9",40.0,Ada,Tidak Tersedia,-6.9327448,107.5715936,,Gereja Umum,Kota Bandung,False,05:07,18:30,Tidak diketahui,226016561.0,0,Tidak Tersedia
GII Hok Im Tong - Gardujati,"Jl. Gardujati No.51, Kec. Andir","4,6",363.0,Tidak Ada,Tersedia,-6.918472,107.598232,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Umum,Kota Bandung,False,06:00,07:15,Normal,,2,Aksesibilitas Terbatas
GPIB Sejahtera di Bandung,"Jl. Malabar No.49, Kec. Lengkong","4,9",41.0,Tidak Ada,Tidak Tersedia,-6.9244718,107.6243329,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bandung,False,05:07,18:30,Tidak diketahui,,1,Aksesibilitas Terbatas
GKI Pasteur,"Jl. Pasteur No.12A, Kecamatan Coblong","4,7",151.0,Tidak Ada,Tersedia,-6.9001356,107.6027443,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,07:00,12:00,Normal,,3,Aksesibilitas Cukup Lengkap
Gereja Kristen Pasundan Jemaat Bandung,"Jl. Kebon Jati No.108, Kec. Andir","4,9",41.0,Ada,Tersedia,-6.915981,107.5986643,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bandung,False,05:07,18:30,Tidak diketahui,224237083.0,1,Aksesibilitas Terbatas
GBI Bethel Kings Shopping Center,Jl. Kepatihan,"5,0",59.0,Tidak Ada,Tersedia,-6.923669,107.6043629,['Memiliki tempat parkir khusus pengguna kursi roda'],Gereja Protestan,Kota Bandung,False,08:00,12:00,Normal,,1,Aksesibilitas Terbatas
GMS Bandung,Jl. Purnawarman lantai 3A,"4,9",125.0,Tidak Ada,Tersedia,-6.9078216,107.6087898,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Umum,Kota Bandung,False,09:00,19:00,Normal,,1,Aksesibilitas Terbatas
Gereja Kristen Indonesia Maulana Yusuf,"Jl. Maulana Yusuf No.20, Kec. Bandung Wetan","4,8",587.0,Tidak Ada,Tersedia,-6.9007873,107.6137771,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,07:30,20:00,Normal,,3,Aksesibilitas Cukup Lengkap
Gereja Kristen Immanuel Hosanna,"Jl. Dr. Djunjunan No.141, Kec. Cicendo","4,8",62.0,Tidak Ada,Tersedia,-6.8935077,107.5856904,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,07:00,13:00,Normal,,2,Aksesibilitas Terbatas
GKI Pasirkoja,"Jl. Terusan Pasirkoja No.57, Kec. Astanaanyar","4,6",30.0,Tidak Ada,Tersedia,-6.9266339,107.5953793,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,05:30,19:00,Normal,,2,Aksesibilitas Terbatas
GBI Bethel Summarecon - The Journey,"Jl. Magna Timur, Kec. Gedebage","4,9",80.0,Tidak Ada,Tersedia,-6.9609716,107.6893052,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,05:07,18:30,Tidak diketahui,,2,Aksesibilitas Terbatas
GPIB Maranatha Bandung,"Jl. Taman Cibeunying Utara No.2, Kec. Bandung Wetan","4,8",286.0,Tidak Ada,Tersedia,-6.9071617,107.6265027,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,05:07,18:30,Tidak konsisten,,3,Aksesibilitas Cukup Lengkap
GII Hok Im Tong • Batununggal,"Jl. Batununggal Indah II No.50, Kec. Bandung Kidul","4,7",54.0,Tidak Ada,Tidak Tersedia,-6.9632753,107.6251629,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Umum,Kota Bandung,False,08:00,09:30,Normal,,2,Aksesibilitas Terbatas
GBI ROCK BANDUNG,,"4,8",36.0,Tidak Ada,Tersedia,-6.9157253,107.6087822,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bandung,False,09:00,10:30,Normal,,1,Aksesibilitas Terbatas
Gereja Kristen Jawa Bandung,"Jl. Merdeka No.28, Kec. Sumur Bandung","4,8",148.0,Tidak Ada,Tersedia,-6.9119042,107.6107257,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,06:30,21:00,Normal,,2,Aksesibilitas Terbatas
GBI Bethel Paskal Hyper Square,Jl. Pasir Kaliki No.28 Block B1-3A,"4,7",126.0,Tidak Ada,Tersedia,-6.9150749,107.597088,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bandung,False,08:00,13:00,Normal,,1,Aksesibilitas Terbatas
GPIB Bethel Bandung,"Jl. Wastukencana No.1, Kec. Sumur Bandung","4,7",223.0,Tidak Ada,Tersedia,-6.9136532,107.608698,,Gereja Protestan,Kota Bandung,True,00:00,23:59,24 Jam,,0,Tidak Tersedia
GKI Kebon Jati,"Jl. Kebon Jati No.100, Kec. Andir","4,8",289.0,Ada,Tidak Tersedia,-6.9160658,107.598979,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,05:07,18:30,Tidak diketahui,224231063.0,2,Aksesibilitas Terbatas
Gereja Kristen Kalam Kudus Pasundan,"Jl. Pasundan No.78, Kec. Regol","4,8",113.0,Tidak Ada,Tersedia,-6.9269092,107.6085005,,Gereja Protestan,Kota Bandung,False,06:00,00:00,Tidak konsisten,,0,Tidak Tersedia
GII Hok Im Tong - Dago,"Jl. Cikapayang No.2 - 4, Kecamatan Coblong","4,8",355.0,Tidak Ada,Tersedia,-6.8986082,107.6119473,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Umum,Kota Bandung,False,07:30,09:00,Normal,,2,Aksesibilitas Terbatas
GKO Sarijadi,Kec. Sukasari,"4,6",34.0,Ada,Tidak Tersedia,-6.8810297,107.5758379,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Umum,Kota Bandung,False,07:00,20:00,Normal,222020604.0,1,Aksesibilitas Terbatas
GBI Baranangsiang,"Jl. Baranang Siang No.8, Kec. Sumur Bandung","4,8",542.0,Tidak Ada,Tersedia,-6.9187145,107.6205049,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,07:00,19:00,Normal,,2,Aksesibilitas Terbatas
CLCC (City Light Community Church),Jalan Sukajadi No 137,"4,8",179.0,Tidak Ada,Tersedia,-6.890935,107.595673,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Umum,Kota Bandung,False,05:07,18:30,Tidak diketahui,,2,Aksesibilitas Terbatas
GRII Bandung,"Jl. Moch. Toha No.229, Kec. Regol","4,7",217.0,Ada,Tersedia,-6.9463663,107.6091629,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Umum,Kota Bandung,False,05:07,18:30,Tidak diketahui,225212211.0,3,Aksesibilitas Cukup Lengkap
Gereja HKBP Bandung Barat,"Jl. HKBP No.1, Kec. Bandung Kulon","4,7",242.0,Ada,Tidak Tersedia,-6.9215897,107.577921,['Memiliki pintu masuk khusus pengguna kursi roda'],Gereja Protestan,Kota Bandung,False,08:00,22:00,Normal,226002984.0,1,Aksesibilitas Terbatas
GBI Sukacita,"Jl. Dipati Ukur No.80-84, Kecamatan Coblong","4,8",45.0,Tidak Ada,Tersedia,-6.888788,107.6159056,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Gereja Protestan,Kota Bandung,False,10:00,12:00,Normal,,2,Aksesibilitas Terbatas
GPIB Wisma Asih Lembang,"Jl. Maribaya No.93, Kec. Lembang","4,7",37.0,Ada,Tidak Tersedia,-6.8239285,107.6377558,,Gereja Protestan,Kabupaten Bandung,False,09:00,18:00,Normal,222787320.0,0,Tidak Tersedia
